group_kind,group,model,attacker,samples,coverage,accuracy,precision,recall,f1,mcc,roc_auc
partition,english_control,baseline,m4,200,0.605,0.255,0.255,1.0,0.4063745019920319,None,0.8884721673904461
partition,english_control,baseline,m5,200,1.0,0.19,0.19,1.0,0.319327731092437,None,0.8318713450292398
partition,mixed_construction,indicpass,m4,200,0.195,0.95,0.0,None,None,None,None
partition,mixed_construction,indicpass,m5,200,0.43,0.955,0.1,1.0,0.18181818181818182,0.3089941535606675,0.9798994974874372
partition,mixed_construction,pcfg,m4,200,0.195,0.975,0.0,None,None,None,None
partition,mixed_construction,pcfg,m5,200,0.43,0.98,0.2,1.0,0.33333333333333337,0.44269617063793026,1.0
partition,mixed_construction,baseline,m4,200,0.195,0.815,0.0,None,None,None,None
partition,mixed_construction,baseline,m5,200,0.43,0.82,0.02702702702702703,1.0,0.052631578947368425,0.14878748470571135,1.0
partition,indic_in_lexicon,indicpass,m4,332,1.0,0.7228915662650602,0.6838487972508591,1.0,0.8122448979591836,0.45914108015222027,0.9497676351683229
partition,indic_in_lexicon,indicpass,m5,332,0.9939759036144579,0.4427710843373494,0.3642611683848797,1.0,0.5340050377833753,0.2570657082057233,0.8893387877775922
partition,indic_in_lexicon,pcfg,m4,332,1.0,0.786144578313253,0.8018867924528302,0.8542713567839196,0.8272506082725061,0.5492434690405424,0.9163108776967545
partition,indic_in_lexicon,pcfg,m5,332,0.9939759036144579,0.6807228915662651,0.5,1.0,0.6666666666666666,0.5152540399295447,0.9327308398731007
partition,indic_in_lexicon,baseline,m4,332,1.0,0.7018072289156626,0.6953125,0.8944723618090452,0.7824175824175824,0.35924028603629865,0.8291835115426758
partition,indic_in_lexicon,baseline,m5,332,0.9939759036144579,0.5481927710843374,0.4140625,1.0,0.585635359116022,0.3731517876644411,0.8764192686592085
partition,oov_name,indicpass,m4,161,0.09937888198757763,0.35403726708074534,0.0,None,None,None,None
partition,oov_name,indicpass,m5,161,1.0,0.7950310559006211,0.6826923076923077,1.0,0.8114285714285714,0.6575498421198159,0.9477308294209703
partition,oov_name,pcfg,m4,161,0.09937888198757763,0.37888198757763975,0.0,None,None,None,None
partition,oov_name,pcfg,m5,161,1.0,0.7577639751552795,0.66,0.9295774647887324,0.7719298245614035,0.5647639426214712,0.9187010954616588
partition,oov_name,baseline,m4,161,0.09937888198757763,0.11801242236024845,0.0,None,None,None,None
partition,oov_name,baseline,m5,161,1.0,0.5590062111801242,0.5,1.0,0.6666666666666666,0.32489314482696546,0.9078247261345853
partition,oov_spelling_variant,indicpass,m4,134,0.08955223880597014,0.44029850746268656,0.0,None,None,None,None
partition,oov_spelling_variant,indicpass,m5,134,1.0,0.9253731343283582,0.8666666666666667,1.0,0.9285714285714286,0.860850046136008,0.9896321070234114
partition,oov_spelling_variant,pcfg,m4,134,0.08955223880597014,0.40298507462686567,0.0,None,None,None,None
partition,oov_spelling_variant,pcfg,m5,134,1.0,0.8432835820895522,0.775,0.9538461538461539,0.8551724137931034,0.7060865080278947,0.9626532887402452
partition,oov_spelling_variant,baseline,m4,134,0.08955223880597014,0.27611940298507465,0.0,None,None,None,None
partition,oov_spelling_variant,baseline,m5,134,1.0,0.7611940298507462,0.6701030927835051,1.0,0.8024691358024691,0.5994419437746847,0.9451505016722408
partition,oov_morphological_variant,indicpass,m4,27,0.0,0.5185185185185185,0.0,None,None,None,None
partition,oov_morphological_variant,indicpass,m5,27,1.0,0.8148148148148148,0.6153846153846154,1.0,0.761904761904762,0.6733804983414345,1.0
partition,oov_morphological_variant,pcfg,m4,27,0.0,0.5925925925925926,0.0,None,None,None,None
partition,oov_morphological_variant,pcfg,m5,27,1.0,0.8888888888888888,0.7272727272727273,1.0,0.8421052631578948,0.7825855808712296,1.0
partition,oov_morphological_variant,baseline,m4,27,0.0,0.48148148148148145,0.0,None,None,None,None
partition,oov_morphological_variant,baseline,m5,27,1.0,0.7777777777777778,0.5714285714285714,1.0,0.7272727272727273,0.6252818913170464,0.9736842105263158
partition,oov_stem_suffix,indicpass,m4,34,0.20588235294117646,0.5,0.0,None,None,None,None
partition,oov_stem_suffix,indicpass,m5,34,1.0,0.8823529411764706,0.7647058823529411,1.0,0.8666666666666666,0.7867957924694431,0.9413919413919414
partition,oov_stem_suffix,pcfg,m4,34,0.20588235294117646,0.6176470588235294,0.0,None,None,None,None
partition,oov_stem_suffix,pcfg,m5,34,1.0,0.7058823529411765,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.3772893772893773,0.9047619047619048
partition,oov_stem_suffix,baseline,m4,34,0.20588235294117646,0.20588235294117646,0.0,None,None,None,None
partition,oov_stem_suffix,baseline,m5,34,1.0,0.5882352941176471,0.48148148148148145,1.0,0.65,0.40061680838488767,0.7582417582417582
partition,oov_other,indicpass,m4,112,0.0,0.21428571428571427,0.0,None,None,None,None
partition,oov_other,indicpass,m5,112,1.0,0.8392857142857143,0.7954545454545454,1.0,0.8860759493670886,0.674199862463242,0.9336734693877551
partition,oov_other,pcfg,m4,112,0.0,0.05357142857142857,0.0,None,None,None,None
partition,oov_other,pcfg,m5,112,1.0,0.6428571428571429,0.6415094339622641,0.9714285714285714,0.7727272727272727,0.14333552726125529,0.8280612244897959
partition,oov_other,baseline,m4,112,0.0,0.10714285714285714,0.0,None,None,None,None
partition,oov_other,baseline,m5,112,1.0,0.7321428571428571,0.7,1.0,0.8235294117647058,0.4472135954999579,0.8909863945578231
