model,attacker,budget,samples,accuracy,precision,recall,f1,balanced_accuracy,mcc,roc_auc,pr_auc
indicpass,m5,10000000000.0,1400,0.7757142857142857,0.697786333012512,1.0,0.8219954648526077,0.7674074074074074,0.6108898988118852,0.9241777777777778,0.9111839209451033
pcfg,m4,1000.0,1400,0.9871428571428571,0.23076923076923078,0.2727272727272727,0.24999999999999994,0.6327639243405982,0.24442613221156165,0.9777472347666732,0.3700624229199074
pcfg,m4,10000.0,1400,0.9285714285714286,0.1375,0.2619047619047619,0.18032786885245902,0.6055473735886107,0.15513864632471014,0.9445437969002034,0.2717858833827971
pcfg,m4,100000.0,1400,0.8778571428571429,0.19886363636363635,0.5384615384615384,0.2904564315352697,0.7164217804667243,0.27471427647033275,0.9117142033995966,0.2538675868916088
pcfg,m4,1000000.0,1400,0.8414285714285714,0.3409090909090909,0.8467741935483871,0.48611111111111105,0.843841642228739,0.4716696916121434,0.9171048639902922,0.3816212951289827
pcfg,m4,100000000.0,1400,0.6692857142857143,0.3374045801526718,0.884,0.48839779005524864,0.753304347826087,0.38885955789943044,0.835304347826087,0.4088404107292958
pcfg,m4,10000000000.0,1400,0.5021428571428571,0.3464114832535885,0.9627659574468085,0.5095003518648838,0.6478868849734043,0.30132227376471266,0.7222406914893617,0.405799890989527
pcfg,m5,1000.0,1400,0.9928571428571429,0.23076923076923078,1.0,0.375,0.9964209019327129,0.4786620304072173,0.9973753280839895,0.4871794871794872
pcfg,m5,10000.0,1400,0.955,0.2125,1.0,0.3505154639175258,0.9772234273318872,0.45035536703369267,0.9867296159244608,0.4846153846153846
pcfg,m5,100000.0,1400,0.91,0.2840909090909091,1.0,0.4424778761061947,0.9533333333333334,0.5075192189225523,0.9822814814814815,0.5968036964122729
pcfg,m5,1000000.0,1400,0.865,0.3961038961038961,0.976,0.5635103926096998,0.9150588235294117,0.571430040545799,0.9742117647058823,0.7891359443860583
pcfg,m5,100000000.0,1400,0.7764285714285715,0.5450381679389313,0.9596774193548387,0.6952288218111004,0.8348970754361742,0.5929397849824881,0.9410694113217021,0.8459703837649791
pcfg,m5,10000000000.0,1400,0.7671428571428571,0.6909090909090909,0.9958620689655172,0.815819209039548,0.7586717752234993,0.5941931039647769,0.9445946360153257,0.9345034809204067
baseline,m4,1000.0,1400,0.9264285714285714,0.010638297872340425,0.09090909090909091,0.019047619047619046,0.5119772236402906,0.008450805468599071,0.789645919235552,0.023002572396217526
baseline,m4,10000.0,1400,0.8892857142857142,0.13071895424836602,0.47619047619047616,0.20512820512820515,0.6891261659302896,0.20681269884999165,0.857090258783926,0.15250935910900865
